system,operations,time_ms,ops_per_sec,memory_mb,insert_ops,delete_ops,final_length
MArrayCRDT,1000,71.4,14014.5,1.13,981,18,971
MArrayCRDT,5000,1484.7,3367.8,5.23,4235,764,3545
MArrayCRDT,10000,6259.3,1597.6,9.84,8489,1510,7115
MArrayCRDT,20000,26881.2,744.0,18.84,17150,2849,14544
MArrayCRDT,30000,59882.5,501.0,26.09,24625,5374,19624
MArrayCRDT,40000,109678.4,364.7,35.22,32349,7650,25249
MArrayCRDT,50000,169019.6,295.8,46.23,41399,8600,33505
Automerge,1000,210,4761.9,21.75,0,0,0
Automerge,5000,490,10204.1,39.90,0,0,0
Automerge,10000,1182,8460.2,78.07,0,0,0
Automerge,20000,5160,3876.0,188.22,0,0,0
Automerge,30000,8642,3471.4,345.11,0,0,0
Automerge,40000,14317,2793.9,455.24,0,0,0
Automerge,50000,23041,2170.0,465.90,0,0,0
Baseline,259778,2899,89609.5,0.10,0,0,0
